datetime,event,value,baseline,astronaut
2017-05-03 10:32:18.483911,get_baseline_values,[39.740013122558594, 39.99971389770508, 40.09246826171875, 39.57305908203125, 39.814212799072266],0,False
2017-05-03 10:32:18.493734,find_range,0.5194091796875,0,False
2017-05-03 10:32:18.495882,baseline_humidity,39.843893432617186,0,False
2017-05-03 10:32:18.499769,find_astronaut,39.93293380737305,39.843893432617186,False
2017-05-03 10:32:38.644433,find_astronaut,39.799373626708984,39.843893432617186,False
2017-05-03 10:32:47.060557,find_astronaut,39.268836975097656,39.843893432617186,False
2017-05-03 10:33:05.495643,find_astronaut,40.033103942871094,39.843893432617186,False
2017-05-03 10:33:33.775152,find_astronaut,39.717750549316406,39.843893432617186,False
2017-05-03 10:33:54.953509,find_astronaut,39.99600601196289,39.843893432617186,False
2017-05-03 10:34:16.151742,find_astronaut,40.00713348388672,39.843893432617186,False
2017-05-03 10:34:50.645170,find_astronaut,40.099884033203125,39.843893432617186,False
2017-05-03 10:35:21.548410,find_astronaut,40.05907440185547,39.843893432617186,False
2017-05-03 10:35:52.881722,find_astronaut,39.78824234008789,39.843893432617186,False
2017-05-03 10:36:10.983261,find_astronaut,39.740013122558594,39.843893432617186,False
2017-05-03 10:36:32.011673,find_astronaut,39.98858642578125,39.843893432617186,False
2017-05-03 10:36:49.450617,find_astronaut,39.658390045166016,39.843893432617186,False
2017-05-03 10:37:14.008950,find_astronaut,39.78082275390625,39.843893432617186,False
2017-05-03 10:37:33.969264,find_astronaut,40.25199890136719,39.843893432617186,False
2017-05-03 10:37:59.632131,find_astronaut,39.89954376220703,39.843893432617186,False
2017-05-03 10:38:21.703423,find_astronaut,39.970035552978516,39.843893432617186,False
2017-05-03 10:38:40.123051,find_astronaut,39.95519256591797,39.843893432617186,False
2017-05-03 10:38:52.740581,find_astronaut,39.98858642578125,39.843893432617186,False
2017-05-03 10:39:11.336705,find_astronaut,40.14811706542969,39.843893432617186,False
2017-05-03 10:39:38.073043,find_astronaut,41.498573303222656,39.843893432617186,False
2017-05-03 10:39:59.435115,find_astronaut,40.30393981933594,39.843893432617186,False
2017-05-03 10:40:11.801036,find_astronaut,39.9366455078125,39.843893432617186,False
2017-05-03 10:40:34.565126,find_astronaut,39.877281188964844,39.843893432617186,False
2017-05-03 10:40:54.722236,find_astronaut,40.255706787109375,39.843893432617186,False
2017-05-03 10:41:25.955121,find_astronaut,40.014556884765625,39.843893432617186,False
2017-05-03 10:41:43.030501,find_astronaut,40.92722702026367,39.843893432617186,False
2017-05-03 10:42:14.229904,find_astronaut,40.20005798339844,39.843893432617186,False
2017-05-03 10:42:44.968443,get_baseline_values,[40.48573303222656, 39.69920349121094, 39.82534408569336, 40.133277893066406, 40.09617614746094],39.843893432617186,False
2017-05-03 10:42:44.970391,find_range,0.786529541015625,39.843893432617186,False
2017-05-03 10:42:44.972102,baseline_humidity,40.04794692993164,39.843893432617186,False
2017-05-03 10:42:44.975811,find_astronaut,39.90696334838867,40.04794692993164,False
2017-05-03 10:43:11.716206,find_astronaut,39.63983917236328,40.04794692993164,False
2017-05-03 10:43:40.336433,find_astronaut,41.290809631347656,40.04794692993164,False
2017-05-03 10:43:58.388623,find_astronaut,40.09617614746094,40.04794692993164,False
2017-05-03 10:44:21.453403,find_astronaut,40.06278610229492,40.04794692993164,False
2017-05-03 10:44:44.500795,find_astronaut,39.82534408569336,40.04794692993164,False
2017-05-03 10:44:56.970548,find_astronaut,39.68436050415039,40.04794692993164,False
2017-05-03 10:45:27.950011,find_astronaut,40.22231674194336,40.04794692993164,False
2017-05-03 10:45:43.058840,find_astronaut,39.929222106933594,40.04794692993164,False
2017-05-03 10:46:15.405085,find_astronaut,39.9366455078125,40.04794692993164,False
2017-05-03 10:46:30.924724,find_astronaut,39.970035552978516,40.04794692993164,False
2017-05-03 10:46:57.645201,find_astronaut,40.41524124145508,40.04794692993164,False
2017-05-03 10:47:22.975130,find_astronaut,40.066497802734375,40.04794692993164,False
2017-05-03 10:47:37.375461,find_astronaut,39.59532165527344,40.04794692993164,False
2017-05-03 10:47:49.732998,find_astronaut,40.133277893066406,40.04794692993164,False
2017-05-03 10:48:10.518892,find_astronaut,39.547088623046875,40.04794692993164,False
2017-05-03 10:48:37.245226,find_astronaut,40.307647705078125,40.04794692993164,False
2017-05-03 10:49:07.775142,find_astronaut,39.9848747253418,40.04794692993164,False
2017-05-03 10:49:37.094131,find_astronaut,39.95519256591797,40.04794692993164,False
2017-05-03 10:50:13.295120,find_astronaut,40.426368713378906,40.04794692993164,False
2017-05-03 10:50:27.757089,find_astronaut,40.185218811035156,40.04794692993164,False
2017-05-03 10:50:47.183616,find_astronaut,39.877281188964844,40.04794692993164,False
2017-05-03 10:51:14.833921,find_astronaut,40.07391357421875,40.04794692993164,False
2017-05-03 10:51:46.107094,find_astronaut,40.151824951171875,40.04794692993164,False
2017-05-03 10:52:15.445018,find_astronaut,39.918094635009766,40.04794692993164,False
2017-05-03 10:52:31.748850,find_astronaut,40.10359573364258,40.04794692993164,False
2017-05-03 10:53:01.751664,get_baseline_values,[38.9646110534668, 40.099884033203125, 39.981163024902344, 40.01084518432617, 39.89212417602539],40.04794692993164,False
2017-05-03 10:53:01.754006,find_range,1.1352729797363281,40.04794692993164,False
2017-05-03 10:53:06.770876,get_baseline_values,[39.970035552978516, 39.75856018066406, 40.047943115234375, 40.033103942871094, 39.78824234008789],40.04794692993164,False
2017-05-03 10:53:06.772863,find_range,0.2893829345703125,40.04794692993164,False
